mode,seed,total_sec,n_seg,text_end,surplus,last_start,last_dur,gap_before,trail_sil,file,path
clone_caption,1234,8.56,5,4.72,3.84,7.61,0.93,2.05,0.02,v4py-clone_caption-seed1234.wav,out\dur-C2\base\v4py-clone_caption-seed1234.wav
clone_caption,1235,8.56,3,8.41,0.15,7.48,0.93,1.7,0.15,v4py-clone_caption-seed1235.wav,out\dur-C2\base\v4py-clone_caption-seed1235.wav
clone_caption,1236,8.56,3,7.47,1.09,6.25,1.22,0.73,1.09,v4py-clone_caption-seed1236.wav,out\dur-C2\base\v4py-clone_caption-seed1236.wav
clone_caption,1237,8.56,4,5.78,2.78,7.2,0.5,1.42,0.86,v4py-clone_caption-seed1237.wav,out\dur-C2\base\v4py-clone_caption-seed1237.wav
clone_caption,1238,8.56,4,5.93,2.63,7.3,0.75,1.37,0.51,v4py-clone_caption-seed1238.wav,out\dur-C2\base\v4py-clone_caption-seed1238.wav
clone_caption,1239,8.56,4,5.07,3.49,7.57,0.36,2.5,0.63,v4py-clone_caption-seed1239.wav,out\dur-C2\base\v4py-clone_caption-seed1239.wav
clone_caption,1240,8.56,4,6.59,1.97,7.38,0.91,0.79,0.27,v4py-clone_caption-seed1240.wav,out\dur-C2\base\v4py-clone_caption-seed1240.wav
clone_caption,1241,8.56,4,6.35,2.21,6.57,0.84,0.22,1.15,v4py-clone_caption-seed1241.wav,out\dur-C2\base\v4py-clone_caption-seed1241.wav
clone_caption,1242,8.56,4,5.9,2.66,6.3,1.14,0.4,1.12,v4py-clone_caption-seed1242.wav,out\dur-C2\base\v4py-clone_caption-seed1242.wav
clone_caption,1243,8.56,4,5.71,2.85,7.56,0.93,1.85,0.07,v4py-clone_caption-seed1243.wav,out\dur-C2\base\v4py-clone_caption-seed1243.wav
clone_caption@a040,1234,5.96,4,4.76,1.2,5.03,0.91,0.27,0.02,v4py-clone_caption-seed1234-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1234-a040.wav
clone_caption@a040,1235,5.96,3,5.91,0.05,4.3,1.61,0.25,0.05,v4py-clone_caption-seed1235-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1235-a040.wav
clone_caption@a040,1236,5.96,3,5.94,0.02,4.67,1.27,0.49,0.02,v4py-clone_caption-seed1236-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1236-a040.wav
clone_caption@a040,1237,5.96,3,5.94,0.02,4.64,1.3,0.28,0.02,v4py-clone_caption-seed1237-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1237-a040.wav
clone_caption@a040,1238,5.96,3,5.94,0.02,4.57,1.37,0.34,0.02,v4py-clone_caption-seed1238-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1238-a040.wav
clone_caption@a040,1239,5.96,3,5.87,0.09,4.5,1.37,0.47,0.09,v4py-clone_caption-seed1239-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1239-a040.wav
clone_caption@a040,1240,5.96,4,4.66,1.3,4.88,0.97,0.22,0.11,v4py-clone_caption-seed1240-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1240-a040.wav
clone_caption@a040,1241,5.96,4,4.18,1.78,4.66,1.26,0.48,0.04,v4py-clone_caption-seed1241-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1241-a040.wav
clone_caption@a040,1242,5.96,3,5.85,0.11,4.69,1.16,0.65,0.11,v4py-clone_caption-seed1242-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1242-a040.wav
clone_caption@a040,1243,5.96,4,4.58,1.38,4.83,1.07,0.25,0.06,v4py-clone_caption-seed1243-a040.wav,out\dur-C2\a040\v4py-clone_caption-seed1243-a040.wav
